value,type,first_seen,last_seen,source,confidence,campaign_association,status,notes,case_id
http://binclloudapp.com/466943,url,2025/2026,,Huntress,High,matanbuchus,CAMPAIGN ASSOCIATED,ClickFix MSI delivery URL (Huntress),matanbuchus
https://marle.io/check/updprofile.aspx,url,2025/2026,,Huntress,High,matanbuchus,CAMPAIGN ASSOCIATED,Matanbuchus C2 — encrypted main module,matanbuchus
www.ndibstersoft.com,domain,2025/2026,,Huntress,High,matanbuchus,CAMPAIGN ASSOCIATED,AstarionRAT C2 host,matanbuchus
binclloudapp.com,domain,2025/2026,,Huntress,High,matanbuchus,CAMPAIGN ASSOCIATED,ClickFix MSI delivery domain (created 2026-02-05 per Huntress),matanbuchus
