value,type,first_seen,last_seen,source,confidence,campaign_association,status,notes,case_id
C559CC68986933200FD5D9E4388E2F58,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Installer sample (Kaspersky StrikeShark),sharkloader
B3352B42432DEDC4A519F011DC8B5D5A,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Dropper sample,sharkloader
24FCEBDEECBA65004FDB0923763D74FD,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Dropper (Taiwan gov chain) — Chinese-filename pdf.exe,sharkloader
9C872A0D5D5A38950E8B9AC9B488BE3F,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,SharkLoader DLL,sharkloader
AA3086BE652C8B20B0B29B2730D57119,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,SharkLoader DLL SystemSettings.dll,sharkloader
A514D1BB62D7916475946FE7C07AC0AA,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Encrypted DscCoreR.mui,sharkloader
9CBD560F820C95D7C38342CD558CB5C6,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Encrypted SyncRest.dat / SyncRes.dat,sharkloader
1F65544978B8EA0E745E573B8EE9684B,md5,2026-06,,Kaspersky,High,sharkloader,CAMPAIGN ASSOCIATED,Dropper (Lebanon),sharkloader
