indicator_id,type,value,notes,source
MBW-IND-0001,domain,buisness-centeral-transportation.com,Screening Serpens related domain (Unit 42); MiniBrowse context,Unit 42 Screening Serpens freeze
MBW-IND-0002,domain,business-startup.org,Screening Serpens related domain (Unit 42); MiniBrowse context,Unit 42 Screening Serpens freeze
MBW-IND-0003,domain,premierhealthadvisory.com,Screening Serpens related domain (Unit 42); MiniBrowse context,Unit 42 Screening Serpens freeze
MBW-IND-0004,domain,ramiltonsfinance.com,Screening Serpens related domain (Unit 42); MiniBrowse context,Unit 42 Screening Serpens freeze
